name,price,category,subcategory,description,size,color,variant_stock,variant_price,SKU,refundPolicy,tags
"Fusion Dress - Cape Style","699.99","Indo-Western","Cape Dresses","Stylish Indo-Western fusion dress with elegant cape design. Perfect for parties and special occasions.","S","Navy Blue","25","699.99","SKU-IW-CAPE-NAVY-S","30-day","fusion,cape,party-wear,stylish"
"Fusion Dress - Cape Style","699.99","Indo-Western","Cape Dresses","Stylish Indo-Western fusion dress with elegant cape design. Perfect for parties and special occasions.","M","Navy Blue","22","699.99","SKU-IW-CAPE-NAVY-M","30-day","fusion,cape,party-wear,stylish"
"Fusion Dress - Cape Style","699.99","Indo-Western","Cape Dresses","Stylish Indo-Western fusion dress with elegant cape design. Perfect for parties and special occasions.","L","Navy Blue","20","699.99","SKU-IW-CAPE-NAVY-L","30-day","fusion,cape,party-wear,stylish"
"Crop Top Set - Fusion","499.99","Indo-Western","Crop Top Sets","Modern crop top set with traditional elements. Great for casual parties and everyday wear.","S","Pink","28","499.99","SKU-IW-CT-PINK-S","30-day","fusion,crop-top,casual,modern"
"Crop Top Set - Fusion","499.99","Indo-Western","Crop Top Sets","Modern crop top set with traditional elements. Great for casual parties and everyday wear.","M","Pink","26","499.99","SKU-IW-CT-PINK-M","30-day","fusion,crop-top,casual,modern"
"Crop Top Set - Fusion","499.99","Indo-Western","Crop Top Sets","Modern crop top set with traditional elements. Great for casual parties and everyday wear.","S","White","30","499.99","SKU-IW-CT-WHITE-S","30-day","fusion,crop-top,casual,modern"
"Dhoti Pants - Traditional","399.99","Indo-Western","Traditional Dhoti","Traditional dhoti pants with modern kurta. Perfect for festivals and traditional occasions.","S","","25","399.99","SKU-IW-DH-TRAD-S","30-day","dhoti,traditional,festival"
"Dhoti Pants - Traditional","399.99","Indo-Western","Traditional Dhoti","Traditional dhoti pants with modern kurta. Perfect for festivals and traditional occasions.","M","","23","399.99","SKU-IW-DH-TRAD-M","30-day","dhoti,traditional,festival"
"Dhoti Pants - Modern","429.99","Indo-Western","Modern Dhoti","Modern dhoti pants with contemporary style. Great for casual occasions and parties.","S","","27","429.99","SKU-IW-DH-MOD-S","30-day","dhoti,modern,casual"
"Dhoti Pants - Modern","429.99","Indo-Western","Modern Dhoti","Modern dhoti pants with contemporary style. Great for casual occasions and parties.","M","","25","429.99","SKU-IW-DH-MOD-M","30-day","dhoti,modern,casual"
